ENGINESIZE,CYLINDERS,FUELCONSUMPTION
2,4,8.5
2.4,4,9.6
1.5,4,5.9
3.5,6,11.1
3.5,6,10.6
3.5,6,10
3.5,6,10.1
3.7,6,11.1
3.7,6,11.6
2.4,4,9.2
2.4,4,9.8
3.5,6,10.4
5.9,12,15.6
5.9,12,15.6
4.7,8,14.7
4.7,8,15.4
4.7,8,14.7
4.7,8,15.4
5.9,12,15.6
2,4,8.8
2,4,10
2,4,9.3
2,4,10
2,4,10
2,4,9.3
2,4,10.2
3,6,10.9
3,6,8.3
3,6,11.2
3,6,8.3
3,6,11.2
4,8,11.3
3,6,8.4
3,6,11.2
4,8,12.5
6.3,12,15.7
3,6,8.5
2,4,10.5
2,4,10.4
3,6,11.2
2,4,9.2
3,6,9.1
3,6,13.2
3,6,10.9
4.2,8,14.6
4.2,8,17.7
5.2,10,15.4
5.2,10,17.8
4.2,8,14.6
4.2,8,17.7
5.2,10,15.4
5.2,10,17.8
4.2,8,13.3
4.2,8,13.4
4,8,12.6
3,6,11.4
3,6,12.4
3,6,11.4
3,6,12.4
3,6,11.6
4,8,12.2
4,8,12.2
4,8,12.9
3,6,12.7
2,4,9.1
2,4,9.1
2,4,10.3
2,4,10.3
4,8,12.9
6,12,15.5
4,8,13.9
6,12,16.5
4,8,14
6,12,16.5
6,12,16.5
6.8,8,19
2,4,8.4
2,4,8.7
2,4,8.8
2,4,6.7
2,4,6.7
2,4,8.4
2,4,8.7
2,4,9.1
2,4,9.1
2,4,9.1
3,6,9.6
3,6,10
3,6,9.9
3,6,10.3
3,6,10.1
2,4,8.4
2,4,8.7
2,4,9.1
3,6,9.6
3,6,10
3,6,9.9
3,6,10.3
2,4,8.8
2,4,9.1
3,6,7.9
3,6,10.1
3,6,10.7
4.4,8,12.2
4.4,8,12.7
3,6,10.1
4.4,8,12.7
4.4,8,12.2
4.4,8,12.7
3,6,10.7
4.4,8,12.7
4.4,8,12.7
6,12,15.5
3,6,8.3
3,6,9.3
3,6,9.2
4.4,8,12.7
4.4,8,12.7
4.4,8,14.7
4.4,8,13.8
4.4,8,14.7
4.4,8,13.8
4.4,8,14.7
4.4,8,13.8
4.4,8,14.7
4.4,8,13.8
2,4,9.1
3,6,11.3
2,4,10
3,6,11
3,6,11.1
4.4,8,13.9
4.4,8,16.1
3,6,11.9
4.4,8,14.1
2,4,9.1
2,4,8.7
3,6,12.1
3,6,11
3,6,12.1
3.6,6,12.3
3.6,6,12.6
1.4,4,8.5
1.4,4,9.2
3.6,6,11.5
3.6,6,15.6
3.6,6,11.5
3.6,6,16.5
2.4,4,8.2
2,4,9.9
2,4,9.8
2,4,10.7
2.4,4,8.2
2,4,9.9
2,4,9.8
2.4,4,9.5
2,4,9.6
2,4,10.2
2.5,4,9
3.6,6,10.9
2,4,10.1
3.6,6,11.3
3.6,6,11.2
3.6,6,11.4
2,4,10.1
3.6,6,10.8
2,4,10.8
3.6,6,11.3
3.6,6,12.8
3,6,11
3.6,6,11.3
3,6,11.1
3.6,6,11.4
6.2,8,16.6
6.2,8,14.8
6.2,8,16.6
6.2,8,14.8
6.2,8,16.6
6.2,8,14.8
6.2,8,14.7
6.2,8,20.1
6.2,8,16.4
6.2,8,22.1
3.6,6,12.3
3.6,6,12.8
3.6,6,11.4
3.6,6,11.8
3.6,6,12.6
3.6,6,11.2
3.6,6,11.7
3.6,6,10.5
6.2,8,12.8
6.2,8,12.7
6.2,8,16.6
6.2,8,14.8
6.2,8,12
6.2,8,11.2
1.4,4,7.8
1.4,4,7.8
1.8,4,8.8
1.8,4,8.2
2,4,7.1
1.4,4,7.7
1.4,4,7.1
2.4,4,9.1
3.6,6,12
3.6,6,16.2
2.4,4,10
3.6,6,12.6
3.6,6,17
4.3,6,15.1
5.3,8,15.9
5.3,8,20.9
5.3,8,16.5
5.3,8,21.5
5.3,8,16.5
5.3,8,21.5
5.3,8,16.5
5.3,8,22.6
5.3,8,16.5
5.3,8,21.5
5.3,8,16.5
5.3,8,22.6
4.8,8,18
6,8,18.8
6,8,25.7
4.8,8,18.2
6,8,18.9
6,8,25.8
2.5,4,9.6
3.6,6,10.6
3.6,6,14.3
2.4,4,8.7
2,4,9.9
2.5,4,8
2.4,4,10.6
2.4,4,10.2
4.3,6,11.8
4.3,6,16.8
